City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
198,Kamaishi,JP,71.87,overcast clouds,39.2667,141.8833,Hotel Route Inn Kamaishi
203,Brokopondo,SR,77.7,overcast clouds,4.75,-55.1667,Matu Island
205,Korla,CN,74.03,overcast clouds,41.7597,86.1469,Gulisitan Hotel
206,Caravelas,BR,72.45,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
207,Nouakchott,MR,80.53,clear sky,18.0858,-15.9785,HOTEL IMAN فندق إيمان
210,Palmer,US,82.31,broken clouds,42.1584,-72.3287,Wedgewood Motel
211,Samarai,PG,79.2,overcast clouds,-10.6167,150.6667,Nuli Sapi
212,Guangyuan,CN,78.48,overcast clouds,32.442,105.823,Guangyuan Poetry Hotel
213,Okrika,NG,75.11,overcast clouds,4.7416,7.0849,ayo mutiaru f
214,Banda Aceh,ID,80.89,scattered clouds,5.5577,95.3222,Sulthan Hotel International
217,Garissa,KE,73.56,scattered clouds,-0.4536,39.6401,Sharif Plaza Hotel
220,Olinda,BR,73.13,mist,-8.0089,-34.8553,Hotel Albergue de Olinda
223,Ixtapa,MX,82.22,broken clouds,20.7,-105.2,Hotel Plaza Providencia
224,Nioaque,BR,75.42,overcast clouds,-21.1353,-55.83,Nioaque Novo Hotel
227,Lorengau,PG,78.75,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
228,Itarema,BR,77.41,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
229,Mogadishu,SO,79.34,overcast clouds,2.0371,45.3438,Hotel Juba
230,Hohhot,CN,75.49,scattered clouds,40.8106,111.6522,Sheraton Hohhot Hotel
231,Khandyga,RU,78.55,broken clouds,62.6667,135.6,Apel'sin
233,Byron Bay,AU,71.06,clear sky,-28.65,153.6167,Backpackers Inn on the Beach
235,Aguada,PR,79.83,scattered clouds,18.3794,-67.1882,Hotel Colombus
236,Lamar,US,82.06,clear sky,33.6668,-95.5836,Kings Inn Paris TX
239,Tirukkoyilur,IN,81.14,overcast clouds,11.95,79.2,Hotel SKTC Grand Palace
245,Alta Floresta,BR,73.98,overcast clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
251,Bhusawal,IN,82.99,overcast clouds,21.05,75.7667,Ganesh Park (Udita Construction)
252,Porto Novo,BJ,76.51,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
254,Sabzevar,IR,81.75,clear sky,36.2126,57.6819,پزشکی قانونی سبزوار
256,Flores,GT,84.52,overcast clouds,16.9226,-89.8994,Quinta Maya Hotel
259,Ugoofaaru,MV,82.85,overcast clouds,5.6667,73.0,Ungoofaaru Inn
260,Jibuti,DJ,81.82,scattered clouds,11.5,42.5,Orchid Main Camp Goubet
262,Hasaki,JP,73.29,light rain,35.7333,140.8333,Hotel Sunrise Choshi
263,Malindi,KE,76.41,light rain,-3.2175,40.1191,African House Resort
268,College,US,74.08,broken clouds,64.8569,-147.8028,Pike's Waterfront Lodge
275,Southbridge,US,82.0,overcast clouds,42.0751,-72.0334,Southbridge Hotel & Conference Center
276,Grenville,GD,80.65,overcast clouds,12.1167,-61.6167,Valley Breeze Guest House
278,Buriti Bravo,BR,73.11,clear sky,-5.8372,-43.8336,Hotel Fazenda
286,Nara,JP,71.91,overcast clouds,34.6851,135.8049,Guesthouse Nara Komachi
287,Kontagora,NG,76.78,overcast clouds,10.3999,5.4695,Queens Guest Inn
288,Sainte-Rose,GP,78.84,clear sky,16.3324,-61.6979,Villa - Duzer
289,Nantucket,US,72.09,clear sky,41.2835,-70.0995,Jared Coffin House
291,Ishigaki,JP,82.29,moderate rain,24.3448,124.1572,Hotel Peace Land Ishigakijima
293,Gotsu,JP,72.05,overcast clouds,35.0,132.2167,Yurusato
298,Nicoya,CR,81.95,overcast clouds,10.1483,-85.452,Guayacan Real
299,Sorong,ID,81.37,overcast clouds,-0.8833,131.25,waigo splash hotel
303,Andros Town,BS,82.36,clear sky,24.7,-77.7667,Hanks place
305,Pacific Grove,US,81.25,broken clouds,36.6177,-121.9166,Lovers Point Inn
306,Seoul,KR,73.81,broken clouds,37.5683,126.9778,Lotte Hotel Seoul
311,Cobija,BO,73.96,clear sky,-11.0267,-68.7692,Hotel Obelisco
312,Puerto Carreno,CO,76.32,clear sky,6.189,-67.4859,Casa Hotel Victoria
318,Kankon,IN,79.63,overcast clouds,15.0167,74.0167,Palolem Beach Resort
326,Piranhas,BR,73.08,overcast clouds,-16.4269,-51.8222,Planalto Hotel
327,Gushikawa,JP,83.79,scattered clouds,26.3544,127.8686,Kirari Guest House
328,Sao Joao Da Barra,BR,72.99,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
329,Shache,CN,77.34,clear sky,38.4167,77.2406,Delong Hotel
331,Hefei,CN,84.22,clear sky,31.8639,117.2808,Jinhuan Hotel
334,Komsomolskiy,UZ,78.22,clear sky,40.4272,71.7189,Ikathouse
337,Carauari,BR,74.52,overcast clouds,-4.8828,-66.8958,Hotel Fellip
338,Biak,ID,81.66,scattered clouds,-0.9131,122.8766,Penginapan Kim
339,Kibala,TD,74.89,overcast clouds,9.1104,18.3463,hotel safari
