City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Yelovo,RU,2021-06-05 13:53:09,57.0538,54.9207,69.51,51,6,5.73
68,Ust-Kuyga,RU,2021-06-05 13:53:10,70.0167,135.6,38.57,96,100,7.67
69,Provideniya,RU,2021-06-05 13:53:10,64.3833,-173.3,35.15,97,100,3.47
70,Kisangani,CD,2021-06-05 13:53:10,0.5167,25.2,86.36,54,75,5.08
71,Batemans Bay,AU,2021-06-05 13:53:11,-35.7167,150.1833,47.91,66,100,4.94
72,Punta Arenas,CL,2021-06-05 13:48:32,-53.15,-70.9167,33.91,100,40,7.81
73,Busselton,AU,2021-06-05 13:53:11,-33.65,115.3333,57.09,74,23,11.65
74,Kapaa,US,2021-06-05 13:49:31,22.0752,-159.319,75.52,74,40,13.89
75,Port Augusta,AU,2021-06-05 13:53:12,-32.5,137.7667,50.14,70,6,5.55
76,Waingapu,ID,2021-06-05 13:53:13,-9.6567,120.2641,76.59,83,55,6.69
77,Port Elizabeth,ZA,2021-06-05 13:53:13,-33.918,25.5701,75.09,45,0,8.05
78,Madhugiri,IN,2021-06-05 13:53:14,13.6606,77.2092,75.7,78,100,11.54
79,Choix,MX,2021-06-05 13:53:14,26.7092,-108.3219,80.67,35,0,3.02
80,Bara,NG,2021-06-05 13:53:14,10.3744,10.7288,95.04,36,89,8.55
81,Kosum Phisai,TH,2021-06-05 13:53:15,16.2486,103.0674,89.19,70,100,5.1
82,Beli Potok,RS,2021-06-05 13:53:15,44.7061,20.5197,79.38,34,9,2.68
83,Katsuura,JP,2021-06-05 13:53:15,35.1333,140.3,72.1,86,100,10.31
84,Lavrentiya,RU,2021-06-05 13:53:16,65.5833,-171.0,31.21,98,100,5.84
85,Hualmay,PE,2021-06-05 13:53:16,-11.0964,-77.6139,66.34,76,53,6.93
86,San Cristobal,VE,2021-06-05 13:53:16,7.7669,-72.225,77.18,67,95,5.79
87,Cedar City,US,2021-06-05 13:53:17,37.6775,-113.0619,73.4,25,44,2.3
88,Rokytne,UA,2021-06-05 13:53:17,51.2796,27.214,62.85,62,99,1.81
89,Saint-Philippe,RE,2021-06-05 13:53:17,-21.3585,55.7679,76.55,84,48,5.46
90,Khatanga,RU,2021-06-05 13:53:18,71.9667,102.5,34.95,83,100,8.05
91,Nosy Varika,MG,2021-06-05 13:53:18,-20.5833,48.5333,74.79,77,7,2.86
92,Hilo,US,2021-06-05 13:53:18,19.7297,-155.09,77.29,90,48,0.54
93,Alyangula,AU,2021-06-05 13:53:19,-13.8483,136.4192,64.27,88,17,9.44
94,Oktyabrskiy,RU,2021-06-05 13:53:19,54.4815,53.471,61.2,61,75,8.01
95,Sobolevo,RU,2021-06-05 13:53:20,54.4299,31.8996,69.75,51,83,5.64
96,Castro-Urdiales,ES,2021-06-05 13:53:20,43.3829,-3.2204,71.92,60,0,10.36
97,Tuktoyaktuk,CA,2021-06-05 13:53:20,69.4541,-133.0374,32.0,93,90,11.5
98,Metro,ID,2021-06-05 13:53:03,-5.1131,105.3067,76.53,91,17,4.18
99,Gizo,SB,2021-06-05 13:53:21,-8.103,156.8419,81.46,76,100,4.07
100,Ribeira Grande,PT,2021-06-05 13:53:21,38.5167,-28.7,68.4,88,20,10.36
101,Makakilo City,US,2021-06-05 13:53:21,21.3469,-158.0858,74.68,74,40,14.83
102,Georgetown,MY,2021-06-05 13:49:34,5.4112,100.3354,80.89,92,40,5.99
103,Adrar,MR,2021-06-05 13:53:22,20.5022,-10.0711,103.15,13,6,21.63
104,Gazojak,TM,2021-06-05 13:53:22,41.1875,61.4036,105.82,11,10,8.97
105,Clyde River,CA,2021-06-05 13:53:23,70.4692,-68.5914,28.63,100,90,18.41
106,Leningradskiy,RU,2021-06-05 13:53:23,69.3833,178.4167,33.31,94,100,9.51
107,Maneadero,MX,2021-06-05 13:53:23,31.7167,-116.5667,59.11,85,29,5.01
108,Jiwani,PK,2021-06-05 13:53:24,25.05,61.7417,84.7,79,12,12.88
109,Labuhan,ID,2021-06-05 13:53:24,-6.8844,112.2051,81.01,80,56,6.98
110,Shache,CN,2021-06-05 13:53:24,38.4167,77.2406,86.94,14,2,8.63
111,Betare Oya,CM,2021-06-05 13:53:25,5.6,14.0833,77.18,79,93,3.22
112,New Norfolk,AU,2021-06-05 13:53:25,-42.7826,147.0587,47.66,64,71,1.99
113,Ancud,CL,2021-06-05 13:53:25,-41.8697,-73.8203,46.22,77,89,1.23
114,Boyolangu,ID,2021-06-05 13:53:26,-8.1181,111.8935,76.84,91,70,3.85
115,Darnah,LY,2021-06-05 13:53:26,32.767,22.6367,73.26,60,3,18.32
116,Luderitz,NA,2021-06-05 13:53:26,-26.6481,15.1594,80.62,24,0,3.02
117,Tilichiki,RU,2021-06-05 13:53:27,60.4667,166.1,39.04,88,100,0.69
118,Carnarvon,AU,2021-06-05 13:53:27,-24.8667,113.6333,66.27,77,98,6.91
119,Fort Beaufort,ZA,2021-06-05 13:53:27,-32.7748,26.6338,65.84,30,0,8.08
120,Okrika,NG,2021-06-05 13:53:28,4.7416,7.0849,75.02,85,100,1.52
121,Barrow,US,2021-06-05 13:53:28,71.2906,-156.7887,30.22,93,90,9.22
122,Mabamba,TZ,2021-06-05 13:53:28,-3.5983,30.5019,75.51,60,100,1.48
123,Neiafu,TO,2021-06-05 13:53:29,-18.65,-173.9833,72.28,88,90,3.44
124,Nanortalik,GL,2021-06-05 13:53:29,60.1432,-45.2371,45.63,65,100,9.48
125,San Pedro,PH,2021-06-05 13:53:29,14.35,121.0167,85.35,82,40,6.62
126,Gol,NO,2021-06-05 13:53:30,60.7014,8.9457,74.86,38,100,3.22
127,Lebu,CL,2021-06-05 13:53:30,-37.6167,-73.65,49.96,76,62,8.3
128,Camana,PE,2021-06-05 13:53:30,-16.6228,-72.7111,66.16,75,12,5.53
129,Kokopo,PG,2021-06-05 13:53:30,-4.352,152.2633,77.68,86,10,8.03
130,Bambous Virieux,MU,2021-06-05 13:53:31,-20.3428,57.7575,77.25,73,40,9.6
131,Paracelis,PH,2021-06-05 13:53:31,17.2667,121.4667,77.94,83,100,3.89
132,Bethel,US,2021-06-05 13:53:31,41.3712,-73.414,81.48,75,35,1.99
133,Haines Junction,CA,2021-06-05 13:53:32,60.7522,-137.5108,37.35,81,86,2.3
134,Yerbogachen,RU,2021-06-05 13:53:32,61.2767,108.0108,46.22,70,100,3.04
135,Beringovskiy,RU,2021-06-05 13:53:32,63.05,179.3167,39.67,84,100,7.87
136,Sakaiminato,JP,2021-06-05 13:53:33,35.55,133.2333,69.78,68,75,9.22
137,La Ronge,CA,2021-06-05 13:53:33,55.1001,-105.2842,59.22,82,75,3.44
138,Chernyshevskiy,RU,2021-06-05 13:53:33,63.0128,112.4714,46.56,55,100,3.47
139,San Patricio,US,2021-06-05 13:53:34,28.017,-97.5169,80.87,76,2,3.98
140,Baykit,RU,2021-06-05 13:53:34,61.67,96.37,45.18,61,36,2.86
141,Abu Kamal,SY,2021-06-05 13:53:34,34.4506,40.9171,95.2,15,0,14.74
142,Severo-Kurilsk,RU,2021-06-05 13:53:35,50.6789,156.125,41.56,95,100,25.99
143,North Bend,US,2021-06-05 13:53:35,43.4065,-124.2243,53.15,90,90,9.22
144,Port Hardy,CA,2021-06-05 13:53:35,50.6996,-127.4199,48.38,93,75,6.91
145,Souillac,MU,2021-06-05 13:53:36,-20.5167,57.5167,77.38,73,40,9.22
146,Consuegra,ES,2021-06-05 13:53:36,39.4625,-3.608,71.02,47,100,6.82
147,Matara,LK,2021-06-05 13:53:36,5.9485,80.5353,79.92,84,88,11.77
148,Bubaque,GW,2021-06-05 13:53:37,11.2833,-15.8333,79.3,82,76,8.63
149,Mar Del Plata,AR,2021-06-05 13:49:10,-38.0023,-57.5575,53.13,29,0,1.01
150,Evensk,RU,2021-06-05 13:53:37,61.95,159.2333,41.65,91,100,1.59
151,Ponta Do Sol,PT,2021-06-05 13:53:37,32.6667,-17.1,72.72,74,37,3.71
152,Jieshi,CN,2021-06-05 13:53:38,22.8134,115.8257,80.71,83,100,5.21
153,Jiujiang,CN,2021-06-05 13:53:38,29.7333,115.9833,74.39,66,5,5.32
154,El Doncello,CO,2021-06-05 13:53:38,1.6782,-75.2847,76.75,78,69,2.19
155,Port Blair,IN,2021-06-05 13:53:39,11.6667,92.75,83.71,76,100,10.83
156,Sorgun,TR,2021-06-05 13:53:39,39.8101,35.186,61.03,48,80,7.36
157,Suntar,RU,2021-06-05 13:53:39,62.1444,117.6319,51.1,68,100,1.88
158,Kerman,IR,2021-06-05 13:53:40,30.2832,57.0788,100.26,7,20,14.25
159,Long Beach,US,2021-06-05 13:50:59,33.767,-118.1892,64.42,85,90,1.01
160,Khairagarh,IN,2021-06-05 13:53:40,26.95,77.8167,96.75,26,99,6.44
161,Oktyabrskoye,RU,2021-06-05 13:53:40,43.0645,44.7417,60.94,88,75,2.37
162,Ayan,RU,2021-06-05 13:53:41,56.45,138.1667,38.5,96,100,10.85
163,Mumford,GH,2021-06-05 13:53:41,5.2618,-0.759,83.91,70,87,14.81
164,Ilobu,NG,2021-06-05 13:53:41,7.8333,4.4833,81.12,68,99,7.47
165,Kibondo,TZ,2021-06-05 13:53:42,-3.5864,30.7203,73.44,59,100,1.74
166,Krasnoselkup,RU,2021-06-05 13:53:42,65.7,82.4667,38.21,69,88,22.93
167,Puqi,CN,2021-06-05 13:53:42,29.7167,113.8833,71.02,76,0,4.07
168,Vardo,NO,2021-06-05 13:53:43,70.3705,31.1107,52.0,61,40,14.97
169,Hofn,IS,2021-06-05 13:53:43,64.2539,-15.2082,51.82,87,90,8.05
170,Santa Maria,BR,2021-06-05 13:49:56,-29.6842,-53.8069,83.5,42,0,14.97
171,Kodiak,US,2021-06-05 13:53:43,57.79,-152.4072,45.79,77,92,5.66
172,Goderich,CA,2021-06-05 13:53:23,43.7501,-81.7165,76.21,56,85,8.05
173,Niteroi,BR,2021-06-05 13:51:00,-22.8833,-43.1036,79.59,80,0,4.61
174,Husavik,IS,2021-06-05 13:53:44,66.0449,-17.3389,62.51,61,62,2.46
175,Taunggyi,MM,2021-06-05 13:53:44,20.7833,97.0333,65.93,94,82,2.57
176,Lagoa,PT,2021-06-05 13:53:44,39.05,-27.9833,62.58,83,0,1.86
177,Lebyazhye,RU,2021-06-05 13:53:45,55.2689,66.4947,67.64,41,12,2.84
178,Khandyga,RU,2021-06-05 13:53:45,62.6667,135.6,60.96,52,6,2.35
179,East London,ZA,2021-06-05 13:53:45,-33.0153,27.9116,68.94,60,0,9.22
180,Manokwari,ID,2021-06-05 13:53:46,-0.8667,134.0833,78.13,84,100,5.28
181,Los Llanos De Aridane,ES,2021-06-05 13:53:46,28.6585,-17.9182,69.55,68,20,11.01
182,Longyearbyen,SJ,2021-06-05 13:53:46,78.2186,15.6401,33.6,83,80,9.28
183,Kampot,KH,2021-06-05 13:53:47,10.6167,104.1833,84.25,78,99,8.66
184,Nikolskoye,RU,2021-06-05 13:53:47,59.7035,30.7861,78.69,33,88,1.19
185,Klaksvik,FO,2021-06-05 13:53:47,62.2266,-6.589,52.72,93,83,12.86
186,Mananjary,MG,2021-06-05 13:53:48,-21.2167,48.3333,74.46,76,10,7.27
187,Byron Bay,AU,2021-06-05 13:53:48,-28.65,153.6167,53.55,82,10,7.76
188,Moree,AU,2021-06-05 13:53:48,-29.4667,149.85,42.82,81,11,5.75
189,Petropavlovsk-Kamchatskiy,RU,2021-06-05 13:53:49,53.0452,158.6483,41.59,100,75,17.18
190,Nizhniy Kuranakh,RU,2021-06-05 13:53:49,58.8353,125.4869,58.48,59,48,6.04
191,Chuy,UY,2021-06-05 13:53:49,-33.6971,-53.4616,64.17,96,100,4.74
192,Alcaniz,ES,2021-06-05 13:53:50,41.05,-0.1333,70.43,42,100,1.81
193,Cockburn Town,TC,2021-06-05 13:53:50,21.4612,-71.1419,79.63,78,2,21.88
194,Along,IN,2021-06-05 13:53:50,28.1667,94.7667,71.31,98,100,0.34
195,Chipoka,MW,2021-06-05 13:53:50,-13.9933,34.5157,75.09,50,77,12.68
196,Haimen,CN,2021-06-05 13:53:51,23.1935,116.6142,80.49,90,100,2.26
197,Cape Town,ZA,2021-06-05 13:49:01,-33.9258,18.4232,74.26,35,0,1.01
198,Roebourne,AU,2021-06-05 13:53:51,-20.7833,117.1333,73.9,72,7,7.2
199,Ossora,RU,2021-06-05 13:53:51,59.2353,163.0719,44.15,87,100,1.23
200,Saskylakh,RU,2021-06-05 13:53:52,71.9167,114.0833,38.98,71,97,7.72
201,Gat,IL,2021-06-05 13:53:52,31.61,34.7642,82.4,47,0,13.62
202,Portsmouth,GB,2021-06-05 13:51:35,50.799,-1.0913,74.34,100,12,1.99
203,Vacaria,BR,2021-06-05 13:53:53,-28.5122,-50.9339,71.71,61,0,10.49
204,Laguna,US,2021-06-05 13:53:53,38.421,-121.4238,67.82,65,4,5.01
205,Montes Claros,BR,2021-06-05 13:53:53,-16.735,-43.8617,73.18,53,75,14.97
206,Chepareria,KE,2021-06-05 13:53:54,1.3077,35.2039,67.14,77,100,3.74
207,Iskateley,RU,2021-06-05 13:53:54,67.6803,53.1512,50.4,66,100,11.86
208,High Level,CA,2021-06-05 13:53:54,58.5169,-117.136,46.51,100,40,1.81
209,Havre-Saint-Pierre,CA,2021-06-05 13:53:54,50.2334,-63.5986,57.56,77,75,10.36
210,Palmas,BR,2021-06-05 13:53:55,-10.2128,-48.3603,84.07,51,0,13.8
211,Saldanha,ZA,2021-06-05 13:53:55,-33.0117,17.9442,77.05,34,0,2.66
212,Grindavik,IS,2021-06-05 13:53:56,63.8424,-22.4338,55.56,93,75,18.01
213,Flinders,AU,2021-06-05 13:53:56,-34.5833,150.8552,52.88,58,100,1.99
214,Yeppoon,AU,2021-06-05 13:53:56,-23.1333,150.7333,51.58,71,0,7.27
215,Ust-Nera,RU,2021-06-05 13:53:57,64.5667,143.2,62.28,49,38,2.1
216,Kavaratti,IN,2021-06-05 13:53:57,10.5669,72.642,82.49,77,100,13.02
217,Panaba,MX,2021-06-05 13:53:57,21.2833,-88.2667,84.36,69,86,9.86
218,Isangel,VU,2021-06-05 13:53:58,-19.55,169.2667,74.59,82,65,6.29
219,Faanui,PF,2021-06-05 13:53:58,-16.4833,-151.75,80.65,74,98,5.86
220,Avera,US,2021-06-05 13:53:58,33.194,-82.5271,82.06,86,100,3.4
221,Kahului,US,2021-06-05 13:53:59,20.8947,-156.47,75.85,76,90,16.11
222,Namie,JP,2021-06-05 13:53:59,37.4833,141.0,67.71,88,100,5.28
223,Tasiilaq,GL,2021-06-05 13:53:59,65.6145,-37.6368,38.39,98,100,1.48
224,Hanzhong,CN,2021-06-05 13:54:00,33.0728,107.0303,73.8,68,36,4.92
225,Port Lincoln,AU,2021-06-05 13:54:00,-34.7333,135.8667,58.12,90,50,11.77
226,Cidreira,BR,2021-06-05 13:54:00,-30.1811,-50.2056,74.64,63,0,5.17
227,Juazeiro,BR,2021-06-05 13:54:01,-9.4117,-40.4986,82.58,57,40,13.8
228,Manta,EC,2021-06-05 13:54:01,-0.95,-80.7333,74.98,83,90,11.5
229,Bahar,IR,2021-06-05 13:54:01,34.9072,48.4414,87.96,12,20,20.15
230,Sumoto,JP,2021-06-05 13:54:02,34.35,134.9,69.84,89,100,12.44
231,Margate,GB,2021-06-05 13:54:02,51.3813,1.3862,70.18,69,89,3.11
232,Geraldton,AU,2021-06-05 13:54:02,-28.7667,114.6,52.21,87,0,7.61
233,Narsaq,GL,2021-06-05 13:54:02,60.9167,-46.05,48.54,55,100,6.64
234,Castro,BR,2021-06-05 13:51:54,-24.7911,-50.0119,70.63,55,0,9.64
235,Matagami,CA,2021-06-05 13:54:03,49.7502,-77.6328,53.71,94,90,8.34
236,Kavieng,PG,2021-06-05 13:54:03,-2.5744,150.7967,82.15,79,72,8.14
237,Limenaria,GR,2021-06-05 13:54:04,40.6261,24.5786,75.06,59,19,9.13
238,Barcelos,PT,2021-06-05 13:54:04,41.5388,-8.6151,83.28,40,49,10.2
239,Iqaluit,CA,2021-06-05 13:54:04,63.7506,-68.5145,31.73,93,90,8.01
240,Tual,ID,2021-06-05 13:54:05,-5.6667,132.75,81.34,77,84,19.1
241,Valparaiso,CL,2021-06-05 13:50:51,-33.0393,-71.6273,56.48,92,0,5.75
242,Novoagansk,RU,2021-06-05 13:54:05,61.9449,76.6625,60.66,47,100,14.09
243,Tubmanburg,LR,2021-06-05 13:54:05,6.8708,-10.8172,84.88,74,77,5.66
244,Marawi,PH,2021-06-05 13:54:06,7.9986,124.2928,74.64,93,100,1.34
245,Mantua,IT,2021-06-05 13:54:06,45.1667,10.7833,88.09,46,26,8.99
246,San Quintin,MX,2021-06-05 13:54:06,30.4833,-115.95,61.47,82,11,6.08
247,Puerto Escondido,MX,2021-06-05 13:54:07,15.85,-97.0667,83.44,70,100,1.5
248,Codrington,AU,2021-06-05 13:54:07,-38.2667,141.9667,53.94,86,100,7.58
249,Tessalit,ML,2021-06-05 13:54:07,20.1986,1.0114,112.14,4,0,16.06
250,Inta,RU,2021-06-05 13:54:08,66.0317,60.1659,59.32,51,100,11.83
251,Quthing,LS,2021-06-05 13:54:08,-30.4,27.7003,56.23,21,0,1.7
252,Sinnamary,GF,2021-06-05 13:54:08,5.3833,-52.95,81.97,77,57,8.95
253,Betafo,MG,2021-06-05 13:54:09,-19.8333,46.85,62.31,65,77,4.63
254,Conde,BR,2021-06-05 13:54:09,-7.2597,-34.9075,81.86,74,40,12.95
255,Kuala Lipis,MY,2021-06-05 13:54:09,4.1842,102.0468,75.4,95,45,1.41
256,Saint Anthony,US,2021-06-05 13:54:10,45.0205,-93.218,82.98,49,40,1.99
257,Polyarnyy,RU,2021-06-05 13:54:10,69.1989,33.4478,55.87,75,99,9.22
258,Urucui,BR,2021-06-05 13:54:10,-7.2294,-44.5561,89.76,43,12,11.41
259,Gaya,IN,2021-06-05 13:54:11,24.7833,85.0,94.91,46,40,8.05
260,Giresun,TR,2021-06-05 13:54:11,40.5,38.5,37.92,92,100,8.66
261,Mahebourg,MU,2021-06-05 13:54:11,-20.4081,57.7,77.29,73,40,9.22
262,Padang,ID,2021-06-05 13:54:12,-0.9492,100.3543,76.32,88,100,4.74
263,Wanning,CN,2021-06-05 13:54:12,18.8003,110.3967,77.85,89,100,3.94
264,Mount Gambier,AU,2021-06-05 13:54:12,-37.8333,140.7667,53.51,100,90,8.05
265,Leogane,HT,2021-06-05 13:54:13,18.5108,-72.6339,83.05,67,2,3.02
266,Rabak,SD,2021-06-05 13:54:13,13.1809,32.74,102.29,23,36,9.04
267,Mathbaria,BD,2021-06-05 13:54:13,22.2876,89.9593,86.16,78,100,12.17
268,Muroto,JP,2021-06-05 13:54:14,33.2833,134.15,69.03,79,100,11.34
269,Cervo,ES,2021-06-05 13:54:14,43.6702,-7.4101,80.19,66,6,11.21
270,Cayenne,GF,2021-06-05 13:54:14,4.9333,-52.3333,83.08,83,37,5.01
271,Ouesso,CG,2021-06-05 13:54:15,1.6136,16.0517,88.56,52,92,3.04
272,Hasaki,JP,2021-06-05 13:54:15,35.7333,140.8333,68.29,84,100,4.03
