City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Mount Gambier,AU,-37.8333,140.7667,60.71,88,75,18.41,light rain
80,Abeche,TD,13.8292,20.8324,80.4,55,99,17.22,overcast clouds
81,Mareeba,AU,-17.0,145.4333,73.49,61,30,6.33,scattered clouds
82,Nakano,JP,36.75,138.3667,70.38,70,100,2.66,overcast clouds
83,Nelson Bay,AU,-32.7167,152.15,60.96,59,0,1.99,clear sky
84,Hobart,AU,-42.8794,147.3294,51.26,69,75,3.0,broken clouds
85,Thompson,CA,55.7435,-97.8558,55.56,94,90,11.5,overcast clouds
86,Anrochte,DE,51.5667,8.3333,60.35,97,100,8.66,overcast clouds
87,Kavaratti,IN,10.5669,72.642,82.83,76,99,14.09,overcast clouds
88,Esperance,AU,-33.8667,121.9,59.04,59,8,17.43,clear sky
89,Gravdal,NO,68.1214,13.5031,50.88,80,15,7.56,few clouds
90,Elko,US,41.0002,-115.5012,86.02,12,9,18.99,clear sky
91,Cabo San Lucas,MX,22.8909,-109.9124,96.8,29,1,17.27,clear sky
92,Camacha,PT,33.0833,-16.3333,63.54,77,75,10.36,broken clouds
93,Avarua,CK,-21.2078,-159.775,77.05,69,75,6.91,broken clouds
94,Riyadh,SA,24.6877,46.7219,93.34,16,0,0.0,clear sky
95,Bichura,RU,50.5881,107.6022,66.83,69,100,0.38,overcast clouds
96,Kununurra,AU,-15.7667,128.7333,76.98,27,9,14.97,clear sky
97,Katangli,RU,51.7102,143.2326,43.9,88,100,13.76,overcast clouds
98,Cuajinicuilapa,MX,16.4667,-98.4167,84.33,66,98,5.59,overcast clouds
99,Springbok,ZA,-29.6643,17.8865,53.89,40,0,15.08,clear sky
100,Bredasdorp,ZA,-34.5322,20.0403,52.47,49,0,4.72,clear sky
101,Dunedin,NZ,-45.8742,170.5036,49.37,78,100,4.07,overcast clouds
102,Souillac,MU,-20.5167,57.5167,71.28,83,22,2.75,few clouds
103,Kruisfontein,ZA,-34.0033,24.7314,51.48,29,0,7.52,clear sky
104,Verkhoyansk,RU,67.5447,133.385,49.93,51,100,8.05,overcast clouds
105,Saint-Philippe,RE,-21.3585,55.7679,71.47,85,58,2.98,light rain
106,Krasnoyarskiy,RU,51.965,59.8967,56.14,40,100,7.63,overcast clouds
107,Lagoa,PT,39.05,-27.9833,63.16,86,97,7.34,overcast clouds
108,Los Llanos De Aridane,ES,28.6585,-17.9182,64.15,78,20,15.55,few clouds
109,Srednekolymsk,RU,67.45,153.6833,68.54,29,1,22.1,clear sky
110,Tolbazy,RU,54.0241,55.8825,43.56,66,19,3.69,few clouds
111,Williston,US,48.147,-103.618,89.04,24,30,8.57,scattered clouds
112,Pangody,RU,65.85,74.4859,41.5,64,94,7.14,overcast clouds
113,Alamosa,US,37.4695,-105.87,66.18,39,75,17.27,broken clouds
114,Yellowknife,CA,62.456,-114.3525,62.56,48,97,11.99,overcast clouds
115,Kilindoni,TZ,-7.9139,39.6668,78.93,70,56,24.2,light rain
116,Sulangan,PH,11.1373,123.7228,82.47,74,50,10.47,scattered clouds
117,Saskylakh,RU,71.9167,114.0833,41.22,56,81,9.55,broken clouds
118,Corpus Christi,US,27.8006,-97.3964,83.01,77,20,5.01,few clouds
119,Berlevag,NO,70.8578,29.0864,40.48,85,9,16.6,clear sky
120,Kisiwani,TZ,-4.1333,37.95,64.0,95,76,2.66,broken clouds
121,Chizhou,CN,30.6578,117.4831,79.45,60,0,6.89,clear sky
122,Lampang,TH,18.3333,99.5,79.12,82,100,1.99,overcast clouds
123,Aklavik,CA,68.2191,-135.0107,41.36,74,96,10.58,overcast clouds
124,Bethel,US,41.3712,-73.414,84.18,65,1,5.75,clear sky
125,Zwedru,LR,6.0667,-8.1281,72.18,99,99,2.1,overcast clouds
126,Flin Flon,CA,54.7682,-101.865,65.19,74,81,2.75,broken clouds
127,Hovd,MN,48.0056,91.6419,48.13,27,8,9.84,clear sky
128,Narsaq,GL,60.9167,-46.05,46.62,79,100,6.69,overcast clouds
129,Yerkoy,TR,39.6381,34.4672,48.65,85,10,3.27,clear sky
130,Mapiripan,CO,2.8892,-72.1256,74.77,93,43,2.68,scattered clouds
131,Touros,BR,-5.1989,-35.4608,76.1,81,30,12.1,scattered clouds
132,Ribeira Grande,PT,38.5167,-28.7,64.58,86,100,7.9,overcast clouds
